iter	Passed	Remaining
0	1	159
1	2	123
2	3	111
3	4	99
4	5	98
5	6	100
6	7	100
7	8	98
8	9	96
9	10	93
10	11	91
11	12	89
12	13	87
13	14	86
14	14	84
15	15	82
16	16	81
17	17	79
18	18	78
19	19	76
20	20	75
21	20	74
22	22	74
23	23	75
24	24	73
25	25	73
26	26	72
27	27	71
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	36	61
37	37	60
38	38	60
39	39	59
40	40	58
41	41	56
42	42	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	49	46
52	50	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	59	38
61	60	37
62	61	36
63	62	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	77	24
76	78	23
77	79	22
78	80	21
79	80	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	93	5
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
