iter	Passed	Remaining
0	152	152567
1	154	76888
2	154	51401
3	155	38634
4	155	30962
5	155	25838
6	156	22172
7	156	19426
8	157	17289
9	157	15578
10	157	14177
11	158	13013
12	158	12026
13	158	11179
14	159	10448
15	159	9807
16	159	9240
17	160	8736
18	160	8286
19	160	7883
20	161	7519
21	161	7191
22	172	7348
23	174	7080
24	174	6806
25	174	6555
26	175	6321
27	175	6103
28	176	5900
29	176	5710
30	177	5533
31	177	5368
32	177	5212
33	178	5068
34	178	4929
35	179	4797
36	179	4676
37	180	4559
38	180	4447
39	180	4340
40	181	4239
41	181	4142
42	181	4050
43	182	3961
44	182	3877
45	183	3797
46	183	3719
47	183	3645
48	184	3574
49	184	3505
50	184	3440
51	185	3377
52	185	3316
53	185	3257
54	186	3202
55	186	3147
56	187	3095
57	187	3044
58	187	2994
59	188	2947
60	188	2901
61	188	2856
62	189	2813
63	189	2772
64	189	2731
65	190	2692
66	190	2654
67	190	2617
68	191	2582
69	191	2547
70	192	2513
71	192	2480
72	192	2448
73	193	2417
74	193	2389
75	194	2362
76	194	2334
77	195	2308
78	195	2282
79	196	2256
80	196	2230
81	197	2208
82	197	2183
83	198	2160
84	198	2140
85	199	2118
86	199	2097
87	200	2075
88	200	2055
89	201	2034
90	201	2014
91	202	1994
92	202	1975
93	202	1956
94	203	1937
95	203	1919
96	204	1901
97	204	1884
98	205	1868
99	205	1851
100	206	1836
101	206	1820
102	207	1805
103	208	1792
104	208	1779
105	209	1765
106	209	1750
107	210	1736
108	210	1723
109	211	1709
110	211	1696
111	212	1684
112	212	1671
113	213	1658
114	213	1645
115	214	1633
116	214	1620
117	215	1608
118	215	1596
119	216	1584
120	216	1572
121	216	1560
122	217	1548
123	217	1537
124	218	1526
125	218	1515
126	218	1504
127	219	1494
128	219	1484
129	220	1474
130	220	1464
131	221	1455
132	221	1445
133	222	1436
134	222	1427
135	223	1418
136	223	1410
137	224	1401
138	225	1394
139	225	1385
140	226	1377
141	226	1368
142	226	1359
143	227	1351
144	227	1343
145	228	1335
146	228	1328
147	229	1321
148	230	1314
149	230	1306
150	231	1299
151	231	1292
152	232	1285
153	232	1278
154	233	1270
155	233	1264
156	234	1256
157	234	1250
158	235	1243
159	235	1236
160	235	1229
161	236	1223
162	236	1216
163	237	1210
164	237	1203
165	238	1197
166	238	1191
167	239	1185
168	239	1178
169	240	1172
170	240	1167
171	241	1161
172	241	1155
173	242	1149
174	242	1144
175	243	1139
176	243	1133
177	244	1128
178	254	1169
179	256	1167
180	256	1162
181	257	1156
182	257	1150
183	258	1144
184	258	1138
185	258	1133
186	259	1127
187	259	1121
188	260	1116
189	260	1110
190	260	1105
191	261	1099
192	261	1093
193	262	1088
194	262	1083
195	262	1077
196	263	1072
197	263	1067
198	263	1062
199	264	1057
200	264	1053
201	265	1048
202	265	1043
203	266	1038
204	266	1033
205	266	1028
206	267	1023
207	267	1018
208	267	1014
209	268	1009
210	268	1004
211	269	1000
212	269	996
213	270	991
214	270	987
215	270	983
216	271	979
217	271	974
218	272	970
219	272	966
220	272	961
221	273	957
222	273	953
223	274	950
224	274	945
225	274	941
226	275	937
227	275	933
228	276	929
229	276	925
230	276	921
231	277	917
232	277	913
233	277	909
234	278	905
235	278	902
236	278	898
237	279	894
238	279	890
239	280	886
240	280	882
241	280	879
242	281	875
243	281	872
244	281	868
245	282	865
246	282	861
247	283	858
248	283	855
249	283	851
250	284	848
251	284	845
252	285	841
253	285	838
254	285	835
255	286	831
256	286	828
257	287	825
258	287	822
259	287	819
260	288	815
261	288	812
262	288	809
263	289	806
264	289	803
265	289	800
266	290	796
267	290	793
268	290	790
269	291	787
270	291	784
271	291	781
272	292	778
273	292	775
274	293	772
275	293	769
276	293	766
277	294	763
278	294	760
279	294	758
280	295	755
281	295	752
282	296	750
283	296	747
284	296	744
285	297	741
286	297	738
287	297	736
288	298	733
289	298	731
290	299	728
291	299	725
292	299	723
293	300	721
294	300	718
295	301	716
296	301	713
297	301	711
298	302	708
299	302	706
300	303	703
301	303	701
302	303	698
303	304	696
304	304	693
305	304	691
306	305	689
307	305	686
308	306	684
309	306	681
310	306	679
311	307	677
312	307	674
313	307	672
314	308	669
315	308	667
316	308	665
317	309	663
318	309	660
319	309	658
320	310	656
321	310	654
322	311	652
323	311	649
324	311	647
325	312	645
326	312	643
327	313	641
328	313	639
329	313	637
330	314	635
331	314	632
332	314	630
333	315	628
334	315	626
335	316	624
336	316	622
337	316	620
338	317	618
339	317	616
340	318	614
341	318	612
342	318	610
343	319	608
344	319	606
345	319	604
346	320	602
347	320	600
348	321	598
349	321	596
350	321	594
351	322	592
352	322	590
353	322	589
354	323	587
355	323	585
356	323	583
357	324	581
358	324	579
359	324	577
360	325	575
361	325	573
362	325	572
363	326	570
364	326	568
365	326	566
366	327	564
367	327	562
368	328	560
369	328	559
370	328	557
371	329	556
372	329	554
373	330	552
374	330	550
375	330	549
376	331	547
377	331	545
378	332	543
379	332	542
380	332	540
381	333	538
382	333	537
383	333	535
384	334	534
385	334	532
386	335	530
387	335	529
388	335	527
389	336	525
390	336	524
391	336	522
392	337	520
393	337	519
394	337	517
395	338	515
396	338	514
397	338	512
398	339	511
399	339	509
400	340	507
401	340	506
402	340	504
403	341	503
404	341	501
405	341	499
406	342	498
407	342	496
408	342	495
409	343	493
410	343	492
411	344	491
412	344	489
413	345	488
414	357	503
415	357	502
416	358	500
417	358	499
418	359	498
419	359	496
420	359	494
421	360	493
422	360	492
423	361	490
424	361	489
425	362	487
426	362	486
427	363	485
428	363	483
429	363	482
430	364	480
431	364	479
432	365	478
433	365	476
434	365	475
435	366	473
436	366	472
437	367	471
438	367	469
439	367	468
440	368	466
441	368	465
442	368	463
443	369	462
444	369	460
445	369	459
446	370	458
447	370	456
448	371	455
449	371	454
450	372	452
451	372	451
452	372	450
453	373	448
454	373	447
455	373	446
456	374	444
457	374	443
458	375	442
459	375	440
460	375	439
461	376	438
462	376	436
463	377	435
464	377	434
465	378	433
466	378	431
467	378	430
468	379	429
469	379	428
470	379	426
471	380	425
472	380	424
473	381	422
474	381	421
475	381	420
476	382	418
477	382	417
478	382	416
479	383	415
480	383	413
481	383	412
482	384	411
483	384	410
484	384	408
485	385	407
486	385	406
487	386	404
488	386	403
489	386	402
490	387	401
491	387	400
492	387	398
493	388	397
494	388	396
495	388	395
496	389	393
497	389	392
498	389	391
499	390	390
500	390	389
501	391	388
502	391	386
503	391	385
504	392	384
505	392	383
506	393	382
507	393	381
508	393	380
509	394	378
510	394	377
511	395	376
512	395	375
513	395	374
514	396	373
515	396	371
516	396	370
517	397	369
518	397	368
519	398	367
520	398	366
521	398	365
522	399	364
523	399	362
524	399	361
525	400	360
526	400	359
527	401	358
528	401	357
529	401	356
530	402	355
531	402	353
532	402	352
533	403	351
534	403	350
535	403	349
536	404	348
537	404	347
538	404	346
539	405	345
540	405	344
541	406	343
542	406	342
543	406	341
544	407	340
545	407	339
546	408	338
547	408	337
548	409	336
549	409	334
550	409	333
551	410	332
552	410	331
553	410	330
554	411	329
555	411	328
556	412	327
557	412	326
558	412	325
559	413	324
560	413	323
561	413	322
562	414	321
563	414	320
564	414	319
565	415	318
566	415	317
567	416	316
568	416	315
569	416	314
570	417	313
571	418	312
572	418	311
573	419	311
574	419	310
575	419	309
576	420	308
577	420	307
578	421	306
579	421	305
580	421	304
581	422	303
582	422	302
583	423	301
584	423	300
585	423	299
586	424	298
587	424	297
588	436	304
589	438	304
590	438	303
591	439	302
592	439	301
593	439	300
594	440	299
595	440	298
596	441	297
597	441	296
598	441	295
599	442	294
600	442	293
601	443	292
602	443	291
603	443	290
604	444	290
605	444	289
606	445	288
607	445	287
608	445	286
609	446	285
610	446	284
611	446	283
612	447	282
613	447	281
614	448	280
615	448	279
616	448	278
617	449	277
618	449	276
619	450	275
620	450	274
621	450	273
622	451	273
623	451	272
624	452	271
625	452	270
626	453	269
627	453	268
628	453	267
629	454	266
630	454	265
631	455	264
632	455	264
633	455	263
634	456	262
635	456	261
636	457	260
637	457	259
638	457	258
639	458	257
640	458	256
641	459	255
642	459	255
643	459	254
644	460	253
645	460	252
646	460	251
647	461	250
648	461	249
649	462	248
650	462	247
651	462	247
652	463	246
653	463	245
654	464	244
655	464	243
656	464	242
657	465	241
658	465	240
659	465	240
660	466	239
661	466	238
662	466	237
663	467	236
664	467	235
665	468	234
666	468	234
667	469	233
668	469	232
669	469	231
670	470	230
671	470	229
672	471	228
673	471	228
674	472	227
675	472	226
676	473	225
677	473	225
678	474	224
679	474	223
680	475	222
681	476	222
682	476	221
683	477	220
684	477	219
685	477	218
686	478	217
687	478	217
688	479	216
689	479	215
690	480	214
691	480	213
692	481	213
693	481	212
694	481	211
